"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/app/index.ts", "TypeScript", 31, 0, 2, 33
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/controllers/authentication.controller.spec.ts", "TypeScript", 72, 0, 8, 80
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/controllers/authentication.controller.ts", "TypeScript", 52, 0, 7, 59
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/controllers/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/decorators/authorization.decorator.ts", "TypeScript", 10, 0, 2, 12
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/decorators/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/dtos/authentication.dto.ts", "TypeScript", 6, 0, 2, 8
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/dtos/create-authentication.dto.ts", "TypeScript", 13, 0, 3, 16
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/dtos/index.ts", "TypeScript", 4, 0, 1, 5
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/dtos/login.dto.ts", "TypeScript", 2, 0, 2, 4
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/dtos/registration.dto.ts", "TypeScript", 2, 0, 2, 4
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/entities/authentication.entity.ts", "TypeScript", 15, 0, 4, 19
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/entities/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/exceptions/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/exceptions/wrong-credentials-provided.exception.ts", "TypeScript", 6, 0, 2, 8
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/guards/index.ts", "TypeScript", 2, 0, 1, 3
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/guards/jwt-authentication.guard.spec.ts", "TypeScript", 10, 0, 4, 14
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/guards/jwt-authentication.guard.ts", "TypeScript", 4, 0, 2, 6
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/guards/local-authentication.guard.spec.ts", "TypeScript", 10, 0, 4, 14
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/guards/local-authentication.guard.ts", "TypeScript", 4, 0, 2, 6
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/index.ts", "TypeScript", 32, 0, 2, 34
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/interfaces/index.ts", "TypeScript", 2, 0, 1, 3
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/interfaces/request-with-user.interface.ts", "TypeScript", 5, 0, 2, 7
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/interfaces/token-payload.interface.ts", "TypeScript", 3, 0, 1, 4
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/providers/authentication.provider.ts", "TypeScript", 12, 0, 4, 16
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/providers/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/repositories/authentication.repository.spec.ts", "TypeScript", 28, 0, 6, 34
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/repositories/authentication.repository.ts", "TypeScript", 5, 0, 2, 7
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/repositories/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/services/authentication.service.spec.ts", "TypeScript", 98, 0, 15, 113
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/services/authentication.service.ts", "TypeScript", 94, 3, 20, 117
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/services/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/strategies/index.ts", "TypeScript", 2, 0, 1, 3
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/strategies/jwt.strategy.ts", "TypeScript", 32, 3, 5, 40
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/strategies/local.strategy.ts", "TypeScript", 17, 0, 2, 19
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/subscribers/authentication.subscriber.ts", "TypeScript", 41, 0, 6, 47
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/authentication/subscribers/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/constants/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/constants/oder.constant.ts", "TypeScript", 4, 0, 1, 5
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/decorators/api-paginated-response.decorator.ts", "TypeScript", 26, 0, 2, 28
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/decorators/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/dtos/abstract.dto.ts", "TypeScript", 5, 0, 2, 7
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/dtos/index.ts", "TypeScript", 4, 0, 1, 5
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/dtos/page-meta.dto.ts", "TypeScript", 24, 0, 8, 32
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/dtos/page-options.dto.ts", "TypeScript", 33, 0, 5, 38
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/dtos/page.dto.ts", "TypeScript", 14, 0, 4, 18
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/entities/abstract.entity.ts", "TypeScript", 22, 0, 5, 27
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/entities/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/interceptors/http-cache.interceptor.ts", "TypeScript", 20, 0, 4, 24
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/interceptors/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/interfaces/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/common/interfaces/page-meta-dto-parameters.interface.ts", "TypeScript", 5, 0, 2, 7
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/database/constraints/errors.constraint.ts", "TypeScript", 3, 0, 1, 4
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/database/constraints/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/database/index.ts", "TypeScript", 30, 0, 2, 32
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/database/strategies/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/database/strategies/snake-naming.strategy.ts", "TypeScript", 55, 0, 8, 63
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/constants/geolocation.constant.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/constants/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/controllers/geolocation.controller.spec.ts", "TypeScript", 78, 0, 7, 85
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/controllers/geolocation.controller.ts", "TypeScript", 76, 0, 5, 81
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/controllers/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/dtos/create-geolocation.dto.ts", "TypeScript", 5, 0, 2, 7
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/dtos/geolocation.dto.ts", "TypeScript", 34, 0, 15, 49
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/dtos/index.ts", "TypeScript", 5, 0, 1, 6
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/dtos/language.dto.ts", "TypeScript", 9, 0, 4, 13
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/dtos/location.dto.ts", "TypeScript", 20, 0, 9, 29
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/dtos/remove-geolocation.dto.ts", "TypeScript", 5, 0, 2, 7
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/entities/geolocation.entity.ts", "TypeScript", 39, 0, 13, 52
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/entities/index.ts", "TypeScript", 4, 0, 1, 5
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/entities/language.entity.ts", "TypeScript", 17, 0, 5, 22
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/entities/location-language.entity.ts", "TypeScript", 24, 0, 3, 27
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/entities/location.entity.ts", "TypeScript", 33, 0, 11, 44
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/exceptions/geolocation-not-founded.exception.ts", "TypeScript", 6, 0, 2, 8
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/exceptions/geolocation-was-created.exception.ts", "TypeScript", 6, 0, 2, 8
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/exceptions/index.ts", "TypeScript", 2, 0, 1, 3
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/index.ts", "TypeScript", 45, 0, 2, 47
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/repositories/geolocation.repository.spec.ts", "TypeScript", 28, 0, 6, 34
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/repositories/geolocation.repository.ts", "TypeScript", 5, 0, 2, 7
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/repositories/index.ts", "TypeScript", 4, 0, 1, 5
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/repositories/language.repository.spec.ts", "TypeScript", 28, 0, 6, 34
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/repositories/language.repository.ts", "TypeScript", 5, 0, 2, 7
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/repositories/location-language.repository.spec.ts", "TypeScript", 28, 0, 6, 34
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/repositories/location-language.repository.ts", "TypeScript", 5, 0, 2, 7
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/repositories/location.repository.spec.ts", "TypeScript", 28, 0, 6, 34
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/repositories/location.repository.ts", "TypeScript", 5, 0, 2, 7
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/cache.service.spec.ts", "TypeScript", 21, 0, 5, 26
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/cache.service.ts", "TypeScript", 15, 0, 4, 19
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/client.service.spec.ts", "TypeScript", 17, 0, 5, 22
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/client.service.ts", "TypeScript", 28, 0, 8, 36
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/geolocation.service.spec.ts", "TypeScript", 55, 0, 5, 60
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/geolocation.service.ts", "TypeScript", 166, 0, 38, 204
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/index.ts", "TypeScript", 6, 0, 1, 7
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/language.service.spec.ts", "TypeScript", 22, 0, 5, 27
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/language.service.ts", "TypeScript", 66, 0, 18, 84
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/location-language.service.spec.ts", "TypeScript", 24, 0, 5, 29
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/location-language.service.ts", "TypeScript", 50, 0, 12, 62
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/location.service.spec.ts", "TypeScript", 22, 0, 5, 27
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/services/location.service.ts", "TypeScript", 40, 0, 9, 49
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/subscribers/geolocation.subscriber.ts", "TypeScript", 27, 0, 5, 32
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/subscribers/index.ts", "TypeScript", 2, 0, 1, 3
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/geolocation/subscribers/location.subscriber.ts", "TypeScript", 24, 0, 4, 28
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/main.ts", "TypeScript", 28, 0, 7, 35
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/user/dtos/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/user/dtos/user.dto.ts", "TypeScript", 7, 0, 2, 9
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/user/entities/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/user/entities/user.entity.ts", "TypeScript", 19, 0, 3, 22
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/user/index.ts", "TypeScript", 10, 0, 2, 12
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/user/repositories/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/user/repositories/user.repository.spec.ts", "TypeScript", 28, 0, 6, 34
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/user/repositories/user.repository.ts", "TypeScript", 5, 0, 2, 7
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/user/services/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/user/services/user.service.spec.ts", "TypeScript", 42, 0, 5, 47
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/user/services/user.service.ts", "TypeScript", 31, 0, 9, 40
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/util/index.ts", "TypeScript", 1, 0, 1, 2
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/util/mocks/config.service.ts", "TypeScript", 22, 0, 1, 23
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/util/mocks/connection.ts", "TypeScript", 5, 0, 1, 6
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/util/mocks/index.ts", "TypeScript", 4, 0, 1, 5
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/util/mocks/jwt.service.ts", "TypeScript", 3, 0, 1, 4
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/util/mocks/user.mock.ts", "TypeScript", 18, 0, 2, 20
"/Users/pietrzakadrian/Desktop/Code/_playground/nestjs-sofomo/src/util/setup-swagger.util.ts", "TypeScript", 21, 0, 3, 24
"Total", "-", 2254, 6, 476, 2736